age,gender,budget,noOfStays,timing,typeOfTravel,destination,activities,transport,planning,package,foodplace,attractions,accommodation,cancelPolicy
22,Female,2000,5,Early of the year,Normal travel,Towns,Leisure activities,E-hailing,Tour,Yes,Seafood Restaurants,Cultural Attractions,Apartments,Yes
26,Female,1500,4,End of the year,Normal travel,Towns,Outdoor activities,Personal Vehicle,Self Explore,No,Western/Steak house,Natural Attractions,Apartments,Yes
20,Female,700,5,End of the year,Backpacking,Islands,Water activities,Trains,Self Explore,Yes,Western/Steak house,Natural Attractions,Hotels,Yes
22,Female,500,4,Middle of the year,Normal travel,Islands,Leisure activities,Personal Vehicle,Self Explore,Yes,Nasi padang/campur,Man-made Attractions,Apartments,Yes
21,Female,2500,5,End of the year,Normal travel,Islands,Leisure activities,Booking a flight,Tour,Yes,Seafood Restaurants,Natural Attractions,Resorts,Yes
21,Female,1500,3,End of the year,Normal travel,Islands,Outdoor activities,Busses,Self Explore,Yes,Hotel buffet,Natural Attractions,Resorts,Yes
49,Female,1500,3,End of the year,Normal travel,Islands,Leisure activities,Personal Vehicle,Self Explore,No,Hotel buffet,Natural Attractions,Resorts,Yes
32,Female,1200,4,End of the year,Normal travel,Towns,Outdoor activities,Personal Vehicle,Self Explore,No,Western/Steak house,Natural Attractions,Apartments,Yes
21,Male,500,3,End of the year,Normal travel,Towns,Outdoor activities,Busses,Self Explore,No,Nasi padang/campur,Man-made Attractions,Chalets,Yes
25,Male,1000,5,Middle of the year,Normal travel,Towns,Water activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Natural Attractions,Hotels,Yes
50,Female,1000,3,Middle of the year,Backpacking,Towns,Leisure activities,Trains,Self Explore,Yes,Nasi padang/campur,Cultural Attractions,Resorts,Yes
21,Female,200,2,Middle of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Hotel buffet,Man-made Attractions,Hotels,Yes
21,Male,3000,14,End of the year,Normal travel,Islands,Water activities,Booking a flight,Self Explore,No,Seafood Restaurants,Cultural Attractions,Chalets,Yes
32,Female,1200,4,End of the year,Normal travel,Towns,Outdoor activities,Personal Vehicle,Self Explore,No,Western/Steak house,Natural Attractions,Apartments,Yes
45,Male,2000,7,Middle of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Natural Attractions,Apartments,Yes
21,Female,1500,4,End of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Nasi padang/campur,Man-made Attractions,Hotels,Yes
21,Female,1500,7,End of the year,Normal travel,Towns,Leisure activities,Booking a flight,Tour,Yes,Seafood Restaurants,Man-made Attractions,Hotels,Yes
50,Female,1000,3,Middle of the year,Backpacking,Towns,Leisure activities,Trains,Self Explore,Yes,Nasi padang/campur,Cultural Attractions,Resorts,Yes
21,Female,1500,7,End of the year,Normal travel,Towns,Leisure activities,Booking a flight,Tour,Yes,Seafood Restaurants,Man-made Attractions,Hotels,Yes
21,Female,5000,14,Middle of the year,Normal travel,Towns,Leisure activities,Booking a flight,Self Explore,No,Nasi padang/campur,Man-made Attractions,Hotels,Yes
52,Female,10000,14,Middle of the year,Normal travel,Towns,Leisure activities,Booking a flight,Self Explore,Yes,Western/Steak house,Natural Attractions,Apartments,Yes
24,Male,700,3,End of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Nasi padang/campur,Natural Attractions,Hotels,Yes
23,Male,400,5,Early of the year,Backpacking,Towns,Outdoor activities,Personal Vehicle,Self Explore,Yes,Western/Steak house,Natural Attractions,Hotels,Yes
21,Female,1000,4,Middle of the year,Normal travel,Towns,Outdoor activities,Trains,Self Explore,No,Hotel buffet,Natural Attractions,Hotels,Yes
24,Male,1600,4,Early of the year,Backpacking,Towns,Outdoor activities,Trains,Self Explore,No,Nasi padang/campur,Natural Attractions,Apartments,Yes
43,Male,1000,3,Middle of the year,Normal travel,Islands,Leisure activities,Personal Vehicle,Self Explore,Yes,Seafood Restaurants,Man-made Attractions,Hotels,Yes
21,Female,500,2,Middle of the year,Normal travel,Islands,Water activities,Trains,Self Explore,Yes,Nasi padang/campur,Cultural Attractions,Hotels,Yes
24,Male,1600,4,Early of the year,Normal travel,Towns,Water activities,Personal Vehicle,Self Explore,No,Nasi padang/campur,Cultural Attractions,Apartments,Yes
21,Female,3000,3,Middle of the year,Normal travel,Islands,Water activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Man-made Attractions,Hotels,Yes
21,Male,1500,4,End of the year,Normal travel,Islands,Water activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Man-made Attractions,Hotels,Yes
24,Female,5000,5,Middle of the year,Normal travel,Islands,Water activities,Personal Vehicle,Self Explore,No,Western/Steak house,Man-made Attractions,Hotels,Yes
24,Male,1600,5,End of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Cultural Attractions,Hotels,Yes
25,Male,4500,7,End of the year,Backpacking,Towns,Leisure activities,Booking a flight,Tour,Yes,Hotel buffet,Man-made Attractions,Hotels,Yes
19,Male,4000,7,End of the year,Backpacking,Towns,Leisure activities,E-hailing,Tour,Yes,Western/Steak house,Natural Attractions,Hotels,Yes
21,Male,500,3,End of the year,Normal travel,Towns,Outdoor activities,Busses,Self Explore,No,Nasi padang/campur,Man-made Attractions,Chalets,Yes
47,Female,2000,5,End of the year,Backpacking,Towns,Leisure activities,Personal Vehicle,Self Explore,Yes,Nasi padang/campur,Man-made Attractions,Apartments,Yes
21,Female,1500,5,Middle of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Man-made Attractions,Resorts,Yes
21,Female,3000,4,Middle of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Tour,Yes,Seafood Restaurants,Natural Attractions,Apartments,Yes
32,Female,1200,4,End of the year,Normal travel,Towns,Outdoor activities,Personal Vehicle,Self Explore,No,Western/Steak house,Natural Attractions,Apartments,Yes
21,Female,3000,6,End of the year,Normal travel,Islands,Leisure activities,Booking a flight,Self Explore,Yes,Seafood Restaurants,Natural Attractions,Hotels,Yes
45,Male,2000,7,Middle of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Natural Attractions,Apartments,Yes
21,Male,3000,14,End of the year,Normal travel,Islands,Water activities,Booking a flight,Self Explore,No,Seafood Restaurants,Cultural Attractions,Chalets,Yes
28,Male,800,2,End of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Man-made Attractions,Apartments,Yes
31,Female,1000,3,End of the year,Normal travel,Islands,Water activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Man-made Attractions,Hotels,Yes
24,Male,1600,4,Early of the year,Backpacking,Towns,Outdoor activities,Trains,Self Explore,No,Nasi padang/campur,Natural Attractions,Apartments,Yes
21,Female,1500,4,End of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Nasi padang/campur,Man-made Attractions,Hotels,Yes
21,Female,3500,3,End of the year,Normal travel,Islands,Water activities,Personal Vehicle,Self Explore,No,Hotel buffet,Natural Attractions,Hotels,Yes
21,Female,2000,5,End of the year,Normal travel,Towns,Water activities,Booking a flight,Tour,Yes,Nasi padang/campur,Natural Attractions,Hotels,Yes
27,Male,1000,5,End of the year,Backpacking,Islands,Outdoor activities,Booking a flight,Self Explore,No,Seafood Restaurants,Man-made Attractions,Hotels,Yes
21,Male,3000,14,End of the year,Normal travel,Islands,Water activities,Booking a flight,Self Explore,No,Seafood Restaurants,Cultural Attractions,Chalets,Yes
35,Male,1000,3,Middle of the year,Normal travel,Towns,Outdoor activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Man-made Attractions,Apartments,Yes
28,Female,1200,3,End of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Tour,No,Western/Steak house,Man-made Attractions,Hotels,Yes
22,Female,1000,3,Middle of the year,Normal travel,Islands,Water activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Man-made Attractions,Resorts,Yes
49,Female,1500,3,End of the year,Normal travel,Islands,Leisure activities,Personal Vehicle,Self Explore,No,Hotel buffet,Natural Attractions,Resorts,Yes
19,Male,1500,7,End of the year,Normal travel,Islands,Leisure activities,Booking a flight,Self Explore,No,Western/Steak house,Man-made Attractions,Hotels,Yes
21,Female,2000,5,Middle of the year,Normal travel,Islands,Outdoor activities,Personal Vehicle,Self Explore,Yes,Western/Steak house,Natural Attractions,Chalets,Yes
22,Female,800,2,End of the year,Normal travel,Islands,Water activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Man-made Attractions,Chalets,Yes
21,Female,1000,3,End of the year,Normal travel,Islands,Leisure activities,Personal Vehicle,Self Explore,Yes,Seafood Restaurants,Man-made Attractions,Apartments,Yes
21,Male,600,5,End of the year,Backpacking,Islands,Leisure activities,Trains,Self Explore,No,Seafood Restaurants,Man-made Attractions,Hotels,Yes
21,Male,10000,21,End of the year,Backpacking,Towns,Leisure activities,Busses,Self Explore,No,Nasi padang/campur,Natural Attractions,Hotels,Yes
45,Male,2000,7,Middle of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Natural Attractions,Apartments,Yes
21,Female,2000,5,Middle of the year,Normal travel,Islands,Water activities,Personal Vehicle,Tour,Yes,Seafood Restaurants,Man-made Attractions,Hotels,No
21,Female,1000,3,Middle of the year,Normal travel,Islands,Water activities,Personal Vehicle,Self Explore,No,Hotel buffet,Natural Attractions,Apartments,Yes
49,Female,1500,3,End of the year,Normal travel,Islands,Leisure activities,Personal Vehicle,Self Explore,No,Hotel buffet,Natural Attractions,Resorts,Yes
22,Female,600,5,Middle of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,Yes,Hotel buffet,Man-made Attractions,Hotels,Yes
26,Female,5000,3,End of the year,Normal travel,Islands,Water activities,Booking a flight,Self Explore,Yes,Western/Steak house,Natural Attractions,Hotels,Yes
24,Male,1600,4,Early of the year,Normal travel,Towns,Water activities,Personal Vehicle,Self Explore,No,Nasi padang/campur,Cultural Attractions,Apartments,Yes
21,Female,2000,5,Middle of the year,Normal travel,Islands,Outdoor activities,Personal Vehicle,Self Explore,Yes,Western/Steak house,Natural Attractions,Chalets,Yes
21,Female,1000,4,Middle of the year,Normal travel,Towns,Outdoor activities,Trains,Self Explore,No,Hotel buffet,Natural Attractions,Hotels,Yes
38,Male,1000,7,End of the year,Normal travel,Towns,Leisure activities,Booking a flight,Self Explore,Yes,Western/Steak house,Cultural Attractions,Hotels,Yes
22,Male,500,5,End of the year,Backpacking,Islands,Outdoor activities,Trains,Tour,Yes,Western/Steak house,Cultural Attractions,Chalets,No
28,Male,3000,7,End of the year,Backpacking,Towns,Water activities,Booking a flight,Self Explore,No,Seafood Restaurants,Natural Attractions,Resorts,No
53,Female,2000,3,End of the year,Normal travel,Islands,Leisure activities,Personal Vehicle,Self Explore,Yes,Seafood Restaurants,Natural Attractions,Hotels,Yes
48,Female,3000,3,Early of the year,Normal travel,Islands,Water activities,Personal Vehicle,Self Explore,No,Nasi padang/campur,Man-made Attractions,Hotels,Yes
21,Male,500,3,End of the year,Normal travel,Towns,Outdoor activities,Busses,Self Explore,No,Nasi padang/campur,Man-made Attractions,Chalets,Yes
31,Male,800,4,Middle of the year,Normal travel,Towns,Water activities,Personal Vehicle,Self Explore,Yes,Seafood Restaurants,Man-made Attractions,Resorts,Yes
21,Male,2500,5,End of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Western/Steak house,Man-made Attractions,Hotels,Yes
45,Male,2000,7,Middle of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Natural Attractions,Apartments,Yes
23,Female,600,3,Middle of the year,Backpacking,Islands,Water activities,Personal Vehicle,Self Explore,No,Nasi padang/campur,Man-made Attractions,Chalets,Yes
32,Male,1600,4,Early of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Nasi padang/campur,Cultural Attractions,Apartments,Yes
21,Female,10000,5,Middle of the year,Normal travel,Islands,Water activities,Trains,Self Explore,No,Seafood Restaurants,Cultural Attractions,Resorts,Yes
19,Male,1500,14,End of the year,Backpacking,Towns,Outdoor activities,E-hailing,Self Explore,Yes,Western/Steak house,Man-made Attractions,Hotels,Yes
31,Male,1000,4,Middle of the year,Normal travel,Islands,Water activities,Personal Vehicle,Tour,Yes,Seafood Restaurants,Natural Attractions,Resorts,Yes
21,Female,2000,5,End of the year,Normal travel,Towns,Water activities,Booking a flight,Tour,Yes,Nasi padang/campur,Natural Attractions,Hotels,Yes
21,Female,2000,5,End of the year,Normal travel,Towns,Water activities,Booking a flight,Tour,Yes,Nasi padang/campur,Natural Attractions,Hotels,Yes
32,Female,1200,4,End of the year,Normal travel,Towns,Outdoor activities,Personal Vehicle,Self Explore,No,Western/Steak house,Natural Attractions,Apartments,Yes
21,Female,500,4,End of the year,Normal travel,Towns,Leisure activities,Booking a flight,Self Explore,No,Seafood Restaurants,Cultural Attractions,Apartments,Yes
20,Female,700,5,End of the year,Backpacking,Islands,Water activities,Trains,Self Explore,Yes,Western/Steak house,Natural Attractions,Hotels,Yes
20,Female,700,5,End of the year,Backpacking,Islands,Water activities,Trains,Self Explore,Yes,Western/Steak house,Natural Attractions,Hotels,Yes
23,Female,3000,5,Middle of the year,Normal travel,Islands,Leisure activities,Booking a flight,Self Explore,Yes,Seafood Restaurants,Natural Attractions,Resorts,Yes
24,Male,1600,4,Early of the year,Backpacking,Towns,Outdoor activities,Trains,Self Explore,No,Nasi padang/campur,Natural Attractions,Apartments,Yes
47,Male,600,3,Middle of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Man-made Attractions,Apartments,Yes
24,Male,1600,4,Early of the year,Normal travel,Towns,Water activities,Personal Vehicle,Self Explore,No,Nasi padang/campur,Cultural Attractions,Apartments,Yes
34,Female,2000,5,Early of the year,Normal travel,Islands,Leisure activities,Booking a flight,Self Explore,Yes,Hotel buffet,Natural Attractions,Resorts,Yes
21,Male,4000,9,End of the year,Normal travel,Towns,Leisure activities,Booking a flight,Self Explore,No,Western/Steak house,Man-made Attractions,Hotels,Yes
36,Female,2500,3,Middle of the year,Normal travel,Islands,Water activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Natural Attractions,Hotels,Yes
20,Female,1000,7,End of the year,Normal travel,Islands,Water activities,Booking a flight,Self Explore,Yes,Seafood Restaurants,Man-made Attractions,Resorts,Yes
21,Female,1500,4,End of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Nasi padang/campur,Man-made Attractions,Hotels,Yes
21,Male,3000,14,End of the year,Normal travel,Islands,Water activities,Booking a flight,Self Explore,No,Seafood Restaurants,Cultural Attractions,Chalets,Yes
22,Female,4000,7,End of the year,Normal travel,Islands,Leisure activities,Booking a flight,Self Explore,Yes,Seafood Restaurants,Natural Attractions,Hotels,Yes
19,Female,5000,5,End of the year,Normal travel,Towns,Outdoor activities,Personal Vehicle,Tour,Yes,Western/Steak house,Man-made Attractions,Hotels,Yes
24,Male,1600,4,Early of the year,Normal travel,Towns,Water activities,Personal Vehicle,Self Explore,No,Nasi padang/campur,Cultural Attractions,Apartments,Yes
21,Female,8000,4,End of the year,Normal travel,Towns,Leisure activities,Booking a flight,Tour,Yes,Seafood Restaurants,Cultural Attractions,Hotels,Yes
24,Female,1500,3,Middle of the year,Normal travel,Islands,Water activities,Personal Vehicle,Self Explore,Yes,Nasi padang/campur,Man-made Attractions,Hotels,Yes
21,Female,1000,5,End of the year,Normal travel,Islands,Water activities,Trains,Tour,Yes,Nasi padang/campur,Man-made Attractions,Chalets,Yes
21,Female,500,3,End of the year,Normal travel,Islands,Water activities,Booking a flight,Self Explore,No,Seafood Restaurants,Man-made Attractions,Hotels,Yes
21,Female,450,3,End of the year,Normal travel,Islands,Water activities,Personal Vehicle,Tour,Yes,Seafood Restaurants,Natural Attractions,Chalets,Yes
21,Female,2500,3,Middle of the year,Normal travel,Islands,Leisure activities,Personal Vehicle,Self Explore,No,Western/Steak house,Cultural Attractions,Hotels,Yes
21,Female,1000,4,Middle of the year,Normal travel,Towns,Outdoor activities,Trains,Self Explore,No,Hotel buffet,Natural Attractions,Hotels,Yes
21,Female,2500,4,End of the year,Normal travel,Towns,Leisure activities,Booking a flight,Self Explore,Yes,Western/Steak house,Natural Attractions,Hotels,Yes
57,Female,3000,2,Middle of the year,Normal travel,Islands,Leisure activities,Booking a flight,Tour,Yes,Hotel buffet,Natural Attractions,Resorts,Yes
22,Female,5000,3,Early of the year,Normal travel,Islands,Water activities,Personal Vehicle,Self Explore,No,Hotel buffet,Man-made Attractions,Hotels,Yes
21,Female,3000,7,Middle of the year,Backpacking,Islands,Leisure activities,Personal Vehicle,Tour,Yes,Nasi padang/campur,Man-made Attractions,Apartments,Yes
21,Female,2000,7,Middle of the year,Backpacking,Islands,Outdoor activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Natural Attractions,Chalets,Yes
24,Male,1600,4,Early of the year,Normal travel,Towns,Water activities,Personal Vehicle,Self Explore,No,Western/Steak house,Cultural Attractions,Apartments,Yes
20,Female,2000,3,End of the year,Normal travel,Islands,Leisure activities,Booking a flight,Tour,Yes,Seafood Restaurants,Cultural Attractions,Resorts,Yes
24,Male,1200,4,Middle of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Natural Attractions,Hotels,Yes
21,Female,1500,6,End of the year,Normal travel,Islands,Outdoor activities,Personal Vehicle,Self Explore,Yes,Nasi padang/campur,Natural Attractions,Hotels,Yes
25,Male,4500,7,End of the year,Backpacking,Towns,Leisure activities,Booking a flight,Tour,Yes,Hotel buffet,Man-made Attractions,Hotels,Yes
24,Male,1600,4,Early of the year,Backpacking,Towns,Outdoor activities,Trains,Self Explore,No,Nasi padang/campur,Natural Attractions,Apartments,Yes
21,Male,1000,3,End of the year,Normal travel,Islands,Water activities,Personal Vehicle,Self Explore,Yes,Seafood Restaurants,Man-made Attractions,Resorts,Yes
21,Female,200,1,Middle of the year,Normal travel,Towns,Outdoor activities,Booking a flight,Self Explore,No,Western/Steak house,Man-made Attractions,Hotels,Yes
21,Male,1000,3,Middle of the year,Normal travel,Islands,Outdoor activities,Booking a flight,Tour,Yes,Seafood Restaurants,Natural Attractions,Resorts,Yes
45,Male,2000,7,Middle of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Seafood Restaurants,Natural Attractions,Apartments,Yes
21,Female,1500,4,End of the year,Normal travel,Towns,Leisure activities,Personal Vehicle,Self Explore,No,Nasi padang/campur,Man-made Attractions,Hotels,Yes
26,Female,1600,4,Early of the year,Normal travel,Towns,Water activities,Personal Vehicle,Self Explore,No,Nasi padang/campur,Cultural Attractions,Hotels,Yes
19,Male,300,2,End of the year,Normal travel,Islands,Leisure activities,Personal Vehicle,Self Explore,Yes,Western/Steak house,Man-made Attractions,Hotels,Yes
